"fecha","variable","valor usd oficial","porcentaje","total"
"2024-09-30","EG SUELDOS",NULL,"0","1284620"
"2024-09-30","EG CAJA USD","23095.4","1.79784","1284620"
"2024-09-30","EG GASTOS","0","0","1284620"
"2024-09-30","EG PASIVOS","188895","14.7043","1284620"
"2024-09-30","EG TOTAL","1284620","100","1284620"
"2024-09-30","ITEC PEDIDOS PENDIENTES","0","0","747393"
"2024-09-30","ITEC IMPUESTOS",NULL,"0","747393"
"2024-09-30","ITEC CUENTAS","1995.68","0.267019","747393"
"2024-09-30","EG STOCK","1262010","98.2399","1284620"
"2024-09-30","EG DEUDAS PROVEEDORES","188895","14.7043","1284620"
"2024-09-30","EG ACTIVOS","1473520","114.705","1284620"
"2024-09-30","ITEC BANCO FUTURO","-10744.4","-1.43758","747393"
"2024-09-30","ITEC GASTOS","0","0","747393"
"2024-09-30","ITEC ACTIVOS","747393","100","747393"
"2024-09-30","ITEC TOTAL","747393","100","747393"
"2024-09-30","EG DEUDAS FISCALES","397.18","0.0309181","1284620"
"2024-09-30","ITEC VENTAS","0","0","747393"
"2024-09-30","ITEC CAJA USD","5773.86","0.772533","747393"
"2024-09-30","EG COMPRAS","207157","16.1259","1284620"
"2024-09-30","EG DEUDAS CLIENTES","156038","12.1466","1284620"
"2024-09-30","EG GASTOS INFRAESTRUCTURA","0","0","1284620"
"2024-09-30","EG IMPUESTOS",NULL,"0","1284620"
"2024-09-30","ITEC DEUDAS PROVEEDORES","0","0","747393"
"2024-09-30","ITEC SERVICIOS",NULL,"0","747393"
"2024-09-30","ITEC STOCK","745397","99.7329","747393"
"2024-09-30","ITEC GASTOS INFRAESTRUCTURA","0","0","747393"
"2024-09-30","ITEC DEUDAS FISCALES","603.42","0.0807366","747393"
"2024-09-30","ITEC SUELDOS",NULL,"0","747393"
"2024-09-30","EG VENTAS","291412","22.6847","1284620"
"2024-09-30","EG BANCO FUTURO","6513.64","0.507048","1284620"
"2024-09-30","ITEC COMPRAS","0","0","747393"
"2024-09-30","ITEC DEUDAS CLIENTES","2337.5","0.312754","747393"
